Names,Twittername,Party,Region
Kristian Thulesen Dahl,Kristianthdahl,Dansk Folkeparti,syddanmark
Rasmus Prehn,RasmusPrehn,Socialdemokratiet,nordjylland
Alex Vanopslagh,AlexVanopslagh,Liberal Alliance,midtjylland
Per Clausen,PerClausen3,Enhedslisten,UNKNOWN
Jacob Mark,jacobmark_sf,Socialistisk Folkeparti,sjælland
Mai Mercado,_MaiMercado,Det Konservative Folkeparti,syddanmark
Jesper Petersen,Jesper_Pet,Socialdemokratiet,syddanmark
Peter Skaarup,skaarup_df,Dansk Folkeparti,hovedstadan
Nikolaj Villumsen,nvillumsen,Enhedslisten,UNKNOWN
Trine Bramsen,Trinebramsen,Socialdemokratiet,syddanmark
Pernille Vermund,PernilleVermund,Nye Borgerlige,syddanmark
Henrik Sass,SosseSass,Socialdemokratiet,UNKNOWN
Margrete Auken,MargreteAuken,Socialistisk Folkeparti,UNKNOWN
Mette Gjerskov,MetteGjerskov,Socialdemokratiet,sjælland
Jens Rohde,rohde_jens,Radikale Venstre,hovedstadan
Lotte Rod,LotteRod,Radikale Venstre,syddanmark
Morten Helveg,mortenhelveg,Radikale Venstre,UNKNOWN
Uddannelses- og Forskningsministeriet,UFM_MIN,UNKNOWN,UNKNOWN
Søren Espersen,espersendf,Dansk Folkeparti,sjælland
Ole Birk Olesen,olebirkolesen,Liberal Alliance,midtjylland
Pia Kjærsgaard,Pia_Kjaersgaard,Dansk Folkeparti,hovedstadan
Rosa Lund,RosaLundEl,Enhedslisten,hovedstadan
Lisbeth Bech-Nielsen,LisbethBNielsen,Socialistisk Folkeparti,nordjylland
rasmus nordqvist 🏳️‍🌈,rasmusnordqvist,UNKNOWN,UNKNOWN
Sophie H. Andersen,SophieHAndersen,UNKNOWN,UNKNOWN
Jeppe Kofod,JeppeKofod,Socialdemokratiet,UNKNOWN
Ane Halsboe,AneHalsboe,Socialdemokratiet,UNKNOWN
Christel Schaldemose,SchaldemoseMEP,Socialdemokratiet,UNKNOWN
Morten Løkkegaard,Loekkegaard_MEP,Venstre,UNKNOWN
Finansministeriet,Finansmin,UNKNOWN,UNKNOWN
Jakob Engel-Schmidt,engelschmidt,Venstre,UNKNOWN
Simon Kollerup,simonkollerup,Socialdemokratiet,nordjylland
Kristian Hegaard,KHegaard,Radikale Venstre,hovedstadan
Karsten Hønge,khoenge,Socialistisk Folkeparti,syddanmark
Jens Joel,Jens_Joel,Socialdemokratiet,midtjylland
Erhvervsministeriet,Erhvervs_min,UNKNOWN,UNKNOWN
Sundheds- og Ældreministeriet,DKsundhed,UNKNOWN,UNKNOWN
Torsten Schack,Torstenschack,Venstre,UNKNOWN
Ulla Tørnæs,Ulla_Tornaes,Venstre,syddanmark
Rasmus Horn Langhoff,rasmushorn,Socialdemokratiet,sjælland
Michael Aastrup Jensen,michaelaastrup,Venstre,midtjylland
Peter Kofod(DF),KofodPeter,UNKNOWN,UNKNOWN
Miljø &amp; Fødevaremin.,MFVMin,UNKNOWN,UNKNOWN
Naser Khader,naserkhaderdk,Det Konservative Folkeparti,sjælland
Henrik Dahl,SociologenHD,Liberal Alliance,syddanmark
Liselott Blixt,Blixt22,Dansk Folkeparti,sjælland
Troels Lund Poulsen,troelslundp,Venstre,midtjylland
Nicolai Wammen,NWammen,Socialdemokratiet,midtjylland
Lars Chr. Lilleholt,larsclilleholt,UNKNOWN,UNKNOWN
Andreas Steenberg,a_steenberg,Radikale Venstre,midtjylland
Niko Grünfeld,nikogrunfeld,UNKNOWN,UNKNOWN
Stinus Lindgreen,stinuslindgreen,Radikale Venstre,hovedstadan
Lea Wermelin,LeaWermelin,Socialdemokratiet,hovedstadan
Kaare Dybvad,KaareDybvad,Socialdemokratiet,UNKNOWN
Benedikte Kiær,benediktekiaer,Det Konservative Folkeparti,UNKNOWN
Jacob Bundsgaard,JBundsgaard,UNKNOWN,UNKNOWN
Kåre Traberg Smidt,kaaretraberg,UNKNOWN,UNKNOWN
Karen Ellemann,EllemannKaren,Venstre,hovedstadan
Laura Lindahl,lauralindahl,Liberal Alliance,UNKNOWN
Marianne Jelved,mariannejelved,Radikale Venstre,nordjylland
EU-Parlamentet i DK,EPiDanmark,UNKNOWN,UNKNOWN
Kulturministeriet,Kulturmin,UNKNOWN,UNKNOWN
Forsvarsministeriet/Danish MoD,Forsvarsmin,UNKNOWN,UNKNOWN
Bertel Haarder,BHaarder,Venstre,sjælland
Mads Fuglede,madsfuglede,Venstre,UNKNOWN
Klimaministeriet,KlimaMin,UNKNOWN,UNKNOWN
Rasmus Helveg,rasmushelveg,Radikale Venstre,UNKNOWN
Joymogensen,Joymogensen,UNKNOWN,UNKNOWN
Samira Nawa,SamiraNawa,Radikale Venstre,hovedstadan
Børne- og Undervisningsministeriet,UVM_dk,UNKNOWN,UNKNOWN
Marie Krarup,MarieKrarup,Dansk Folkeparti,syddanmark
Kira M. Peter-Hansen,Kira_MPH,UNKNOWN,UNKNOWN
Hans Andersen,HansAndersenV,Venstre,hovedstadan
Jane Heitmann,JaneHeitmann,Venstre,syddanmark
Lone Loklindt,LoneLoklindt,Radikale Venstre,UNKNOWN
Christina Krzyrosiak Hansen,CKrzyrosiak,UNKNOWN,UNKNOWN
Villy Søvndal,villysoevndal,Socialistisk Folkeparti,UNKNOWN
Jacob Jensen,jacobjensenMF,Venstre,sjælland
Fatma Øktem,fatmaoektem,Venstre,midtjylland
Torsten Gejl,TorstenGejl,Alternativet,midtjylland
Morten Dahlin,MortenDahlin,Venstre,sjælland
Pernille Weiss,WeissPernille,UNKNOWN,UNKNOWN
Michael Ziegler,Mich_Ziegler,Det Konservative Folkeparti,UNKNOWN
Signe Munk,signe_munk,Socialistisk Folkeparti,midtjylland
Kenneth K. Berth,Kristensenberth,UNKNOWN,UNKNOWN
Stephanie Lose,stephanie_lose,Venstre,UNKNOWN
Carl Valentin,Carl__Valentin,Socialistisk Folkeparti,hovedstadan
Kirsten Normann,KirstenNormann,Socialistisk Folkeparti,UNKNOWN
Trine Schøning Torp,TrineTorp,Socialistisk Folkeparti,UNKNOWN
Eva Kjer Hansen,EvaKjerHansen,Venstre,syddanmark
Jeppe Bruus,JeppeBruus,Socialdemokratiet,hovedstadan
Karina Lorentzen D.,MF_K_Lorentzen,Socialistisk Folkeparti,UNKNOWN
Thomas Danielsen,ThDanielsen,Venstre,midtjylland
Camilla Schwalbe,CamillaSchwalbe,UNKNOWN,UNKNOWN
Louise Schack Elholm,LouiseElholm,Venstre,sjælland
Kr. Pihl Lorentzen,kplorentzen,UNKNOWN,UNKNOWN
Simon Pihl Sørensen,Simonpihl,UNKNOWN,UNKNOWN
Sikandar Siddique,SikandaSIDDIQUE,Uden for folketingsgrupperne,hovedstadan
Dennis Flydtkjær,flydtkjaer,Dansk Folkeparti,midtjylland
Mai Villadsen,MaiVilladsen,Enhedslisten,hovedstadan
Britt Bager,brittbager,Venstre,midtjylland
Christian Juhl,ChristianJuhl2,Enhedslisten,sjælland
Kasper Sand Kjær,SandKjaer,Socialdemokratiet,hovedstadan
Mette Thiesen,ThiesenMette,Nye Borgerlige,hovedstadan
Skatteministeriet,skmdk,UNKNOWN,UNKNOWN
Anni Matthiesen,AnniMatthiesen,Venstre,syddanmark
Eva Flyvholm,EvaFlyvholm,Enhedslisten,sjælland
Rune Lund,RuneLundEL,Enhedslisten,hovedstadan
Casper Hedegaard,Cspr_Hedegaard,UNKNOWN,UNKNOWN
Mona Juul,JuulMona,Det Konservative Folkeparti,midtjylland
Karina Adsbøl,AdsbolAdsbl,Dansk Folkeparti,syddanmark
Chr Rabjerg Madsen,RabjergMadsen,UNKNOWN,UNKNOWN
Hans Kristian Skibby,Hans_Kr_Skibby,Dansk Folkeparti,midtjylland
Christopher Røhl A.,RohlChristopher,UNKNOWN,UNKNOWN
Transport- og Boligministeriet,TRM_dk,UNKNOWN,UNKNOWN
Lars Krarup,krarup_lars,UNKNOWN,UNKNOWN
Rasmus Stoklund,RStoklund,Socialdemokratiet,hovedstadan
Linea Søgaard-Lidell,LineaLidell,UNKNOWN,UNKNOWN
John Dyrby Paulsen,JohnDyrbyPaulse,Socialdemokratiet,UNKNOWN
Sisse Marie Welling,SisseMarieWe,Socialistisk Folkeparti,UNKNOWN
Jakob Sølvhøj,JakobSoelvhoej,Enhedslisten,midtjylland
Søren Gade,SoerenGade,Venstre,UNKNOWN
Leif Lahn Jensen,LahnLeif,Socialdemokratiet,midtjylland
Flemming M Mortensen,FlemmingMM,UNKNOWN,UNKNOWN
Victoria Velásquez,VictoriaRV,UNKNOWN,UNKNOWN
Niels Fuglsang,NielsFuglsang,UNKNOWN,UNKNOWN
Ruben Kidde,rubenkidde,UNKNOWN,UNKNOWN
Jacob Bjerregaard,JaBjerregaard,Socialdemokratiet,UNKNOWN
Thomas Medom,thomasmedom,Socialistisk Folkeparti,UNKNOWN
Søren Søndergaard,SrenSndergaard3,Enhedslisten,hovedstadan
Tommy Petersen,TommyPetersenDK,UNKNOWN,UNKNOWN
Morten Marinus,MortenMarinus,Dansk Folkeparti,UNKNOWN
Anne Marie Geisler,amgeisler,Radikale Venstre,UNKNOWN
Marianne Vind,MarianneVind,UNKNOWN,UNKNOWN
Lars Boje Mathiesen,LBMathiesen,Nye Borgerlige,midtjylland
Julie Skovsby,JulieSkovsby,Socialdemokratiet,syddanmark
Daniel Panduro,Danielpanduro,UNKNOWN,UNKNOWN
Gunvor Wibroe,GunvorWibroe,UNKNOWN,UNKNOWN
Jesper Christensen,jesper_bedreby,UNKNOWN,UNKNOWN
Daniel Nyboe Andersen,danielnyboe,UNKNOWN,UNKNOWN
Marlene Harpsøe 🇩🇰,MarleneHARPSOEE,UNKNOWN,UNKNOWN
MetteAnnelie,mette_annelie,UNKNOWN,UNKNOWN
Karin Friis Bach,karinFbach,UNKNOWN,UNKNOWN
Camilla Fabricius,CamFabricius,Socialdemokratiet,midtjylland
Lise Bech 🇩🇰 DF,LiseBech,UNKNOWN,UNKNOWN
Katrine Robsøe,KatrineRobsoe,Radikale Venstre,midtjylland
Ninna Hedeager Olsen,ninnahedeager,UNKNOWN,UNKNOWN
Nikolaj Bøgh,nikolajbogh,UNKNOWN,UNKNOWN
Peder Hvelplund,pederhvelplund,Enhedslisten,nordjylland
Social- og Indenrigsministeriet,Socialindenrigs,UNKNOWN,UNKNOWN
Steen Christiansen,steen2620,UNKNOWN,UNKNOWN
Lars Gaardhøj,larsgaardhoj,Socialdemokratiet,UNKNOWN
Anne Ehrenreich,anneehrenreich,Venstre,UNKNOWN
MiaNyegaard,MiaNyegaard,UNKNOWN,UNKNOWN
Annette Lind,annette_lind,Socialdemokratiet,midtjylland
Marie Stærke,mariestaerke,UNKNOWN,UNKNOWN
Bjørn Brandenborg,BjBrandenborg,Socialdemokratiet,syddanmark
Serdal Benli,SerdalBenli,Socialistisk Folkeparti,UNKNOWN
Thomas Gyldal,ThomasGyldal,UNKNOWN,UNKNOWN
Anne Paulin,Paulin_Anne,Socialdemokratiet,midtjylland
Ulrik Kohl,UlrikKohl,UNKNOWN,UNKNOWN
Peter Westermann,WestermannPeter,Socialistisk Folkeparti,UNKNOWN
Brigitte K. Jerkel,JerkelK,UNKNOWN,UNKNOWN
Jens-Kristian Lütken,lytken,UNKNOWN,UNKNOWN
Lars Aslan,lars_aslan,Socialdemokratiet,UNKNOWN
Jørn Pedersen,mayorkolding,UNKNOWN,UNKNOWN
Michael Vindfeldt,MVindfeldt,UNKNOWN,UNKNOWN
Winni Grosbøll,wgrosboell,UNKNOWN,UNKNOWN
Caroline Stage,CarolineStage,UNKNOWN,UNKNOWN
Astrid Carøe,AstridCaroee,Socialistisk Folkeparti,sjælland
Heino Knudsen (S),HeinoKnudsen,UNKNOWN,UNKNOWN
Anders Kühnau,AndersKuhnau,Socialdemokratiet,midtjylland
Anne Valentina Berthelsen,AnneValentina,Socialistisk Folkeparti,sjælland
Anne Sophie Callesen,FrkCallesen,Radikale Venstre,midtjylland
KatarinaAmmitzboell,Ammitzboell_K,UNKNOWN,UNKNOWN
Susanne Zimmer,Susanne_Zimmer_,Uden for folketingsgrupperne,nordjylland
Martin Geertsen,GeertsenVenstre,Venstre,hovedstadan
ThomasKastrup-Larsen,KastrupLarsen,UNKNOWN,UNKNOWN
Rikke Lauritzen,rikkelau,UNKNOWN,UNKNOWN
J H Thulesen Dahl,JThulesen,UNKNOWN,UNKNOWN
Claus Jørgensen,clausjorgensen,UNKNOWN,UNKNOWN
Ulla Astman,UAstman,Socialdemokratiet,nordjylland
Pernille Bendixen,BendixenPebe,Dansk Folkeparti,UNKNOWN
Orla Hav,HavOrla,Socialdemokratiet,nordjylland
Daniel Rugholm,rugholm,Det Konservative Folkeparti,UNKNOWN
Erling Bonnesen,ErlingBonnesen,Venstre,syddanmark
Marie Bjerre,marie_bjerre,Venstre,nordjylland
Jonas Bjørn Jensen,Jonasbjorn,UNKNOWN,UNKNOWN
Birgitte Bergman,BirgitteBergman,Det Konservative Folkeparti,hovedstadan
"Stén Knuth, Idrætsordfører Venstre",Sten_Knuth,UNKNOWN,UNKNOWN
Tidligere Økonomi- og Indenrigsministeriet,OIMdk,UNKNOWN,UNKNOWN
Peter Juel Jensen,PeterJuelJensen,Venstre,UNKNOWN
Anders Kronborg,AndersKronborg,Socialdemokratiet,syddanmark
Troels Ravn,RavnTroels,Socialdemokratiet,syddanmark
Nick Hækkerup,Nickerup,Socialdemokratiet,hovedstadan
Martin Damm,martinldamm,UNKNOWN,UNKNOWN
Torben Hansen,TorbenHansenRds,Socialdemokratiet,UNKNOWN
Asger Christensen,AsgerChristens2,Venstre,UNKNOWN
Susanne Eilersen,Eilersen_DF,Dansk Folkeparti,UNKNOWN
Anja C Jensen,AnjaCJensen,UNKNOWN,UNKNOWN
Kathrine Olldag,KathrineOlldag,Radikale Venstre,sjælland
Erik Høgh-Sørensen,HoghSorensen,Dansk Folkeparti,nordjylland
Franciska Rosenkilde,FranciskaRosenk,UNKNOWN,UNKNOWN
Mette H. Dencker,dfmehd_mette,UNKNOWN,UNKNOWN
Villum Christensen,VillumC,Liberal Alliance,UNKNOWN
Aaja Chemnitz Larsen,AajaCL,Inuit Ataqatigiit,UNKNOWN
Sonja Marie Jensen,SonjaMJensen,UNKNOWN,UNKNOWN
Bo Nygaard Larsen,bonygaardlarsen,UNKNOWN,UNKNOWN
Maria Gudme,mariagudme,Socialdemokratiet,UNKNOWN
Steen Holm Iversen,steenHiversen,Liberal Alliance,UNKNOWN
Bünyamin Simsek,BSimsekV,UNKNOWN,UNKNOWN
Per Larsen,PerLarsenC,Det Konservative Folkeparti,nordjylland
Birgit S. Hansen,BirgitsHansen,UNKNOWN,UNKNOWN
Jacob Isøe Klærke,jacobklaerke,Socialistisk Folkeparti,midtjylland
Peter Seier Christensen,peter_seier,Nye Borgerlige,sjælland
Charlotte Riis Engelbrecht,CharlotteCre,UNKNOWN,UNKNOWN
Emil Blücher,emilblucher,UNKNOWN,UNKNOWN
Balder Mørk Andersen,sfBalder,UNKNOWN,UNKNOWN
Birgitte Vind,birgitte_vind,Socialdemokratiet,syddanmark
Per Olesen,polesenpolesen,UNKNOWN,UNKNOWN
Tonni Hansen,Tonni_SF,Socialistisk Folkeparti,UNKNOWN
Pernille Beckmann,PernilleBeckman,UNKNOWN,UNKNOWN
Anders Johansson,AJohanssonC,Det Konservative Folkeparti,UNKNOWN
Jakob Gorm,jakobgorm,UNKNOWN,UNKNOWN
Astrid Aller,AstridAller,UNKNOWN,UNKNOWN
Christoffer Lilleholt,LilleholtC,UNKNOWN,UNKNOWN
Christoffer Melson,ChristofferMels,UNKNOWN,UNKNOWN
Fanny Broholm,FannyBroholm,UNKNOWN,UNKNOWN
Merete Scheelsbeck,Scheelsbeck,Det Konservative Folkeparti,UNKNOWN
Niels Peter Bøgballe,NPBogballe,UNKNOWN,UNKNOWN
Daniel Prehn,DanielPrehn1,UNKNOWN,UNKNOWN
Allan Ahmad,AllanAhmadDK,UNKNOWN,UNKNOWN
SusanneUrsulaCrawley,susanneursula,UNKNOWN,UNKNOWN
Hanne Roed,HanneRoed,Radikale Venstre,midtjylland
Halime Oguz,Halime9Oguz,Socialistisk Folkeparti,hovedstadan
Lasse Frimand Jensen,LasseFJaalborg,UNKNOWN,UNKNOWN
Marc Perera Christensen,MarcPerera,UNKNOWN,UNKNOWN
Lasse Hansen,Ls_Hansen,UNKNOWN,UNKNOWN
Kirsten Rask,KirstenRask,Socialdemokratiet,sjælland
Jens Mandrup,jensmandrup,Socialistisk Folkeparti,UNKNOWN
Flemming Pless,Fpless,Socialdemokratiet,UNKNOWN
Flemming Damgaard,FlemmingDL,Venstre,UNKNOWN
Orla Østerby,orlaosterby,Det Konservative Folkeparti,midtjylland
Hans Christian Schmidt,HaChrSchmidt,Venstre,syddanmark
Heidi Bank,bankHeidi,Venstre,midtjylland
Camilla Pedersen,camillalouped,UNKNOWN,UNKNOWN
Lisbeth Lauritsen,L_Lauritsen,UNKNOWN,UNKNOWN
Daniel Toft Jakobsen,ToftJakobsen,Socialdemokratiet,midtjylland
Niels E. Bjerrum,NielsBjerrum,UNKNOWN,UNKNOWN
Marlene Ambo-Rasmussen,MarleneAmbo,Venstre,syddanmark
Henrik Hvidesten,HenrikHvidesten,UNKNOWN,UNKNOWN
Lene Horsbøl,LeneHorsboel,UNKNOWN,UNKNOWN
Steen Wrist Ørts,steenwrist,UNKNOWN,UNKNOWN
Carl Andersen,CarlAndersenLA,UNKNOWN,UNKNOWN
Charlotte Lund,CharlotteLundDi,UNKNOWN,UNKNOWN
Mogens Gade,MogensGade,UNKNOWN,UNKNOWN
Kristian Guldfeldt,Guldfeldt,UNKNOWN,UNKNOWN
Jonathan SH. Nielsen,JonathanNielsen,UNKNOWN,UNKNOWN
Jakob Lose,Jakob_Lose,UNKNOWN,UNKNOWN
Jesper F. Rasmussen,Jesperfr,UNKNOWN,UNKNOWN
LoneYalcinkaya,LoneYalcinkaya,UNKNOWN,UNKNOWN
Morten Jung,mortenjung,UNKNOWN,UNKNOWN
Brian Dybro,BrianDybro,UNKNOWN,UNKNOWN
Leon Sebbelin,LeonSebbelin,UNKNOWN,UNKNOWN
Sine Heltberg,sineheltberg,UNKNOWN,UNKNOWN
Simon Simonsen,simonsjsimonsen,UNKNOWN,UNKNOWN
Karoline Vind,KarolineVind,Socialistisk Folkeparti,UNKNOWN
Malte Larsen,MalteLarsen,Socialdemokratiet,midtjylland
Niels Flemming Hansen,NielsFlemming01,Det Konservative Folkeparti,syddanmark
Marcus Vesterager,marvesterager,UNKNOWN,UNKNOWN
Merete Due Paarup,MereteDuePaarup,UNKNOWN,UNKNOWN
Jesper Kiel,jesperkiel,Enhedslisten,UNKNOWN
Maria Sloth,MariaSloth,UNKNOWN,UNKNOWN
Kim Valentin,kimvalentinDK,Venstre,hovedstadan
Carsten Kissmeyer,CKissmeyer,Venstre,midtjylland
Sofie Seidenfaden,SeidenfadenSof,UNKNOWN,UNKNOWN
Lasse P. N. Olsen,LassePNO,UNKNOWN,UNKNOWN
Rasmus Foged,FogedRasmus,Alternativet,midtjylland
Anne Honoré Østergaard,AnneStergaa,Venstre,nordjylland
Annika Smith,annika_smith,Socialistisk Folkeparti,UNKNOWN
Annette Roed,RoedAnnette,Socialdemokratiet,midtjylland
Kristian Nørgaard,Knorgaardenn,Venstre,UNKNOWN
Andreas Boesen,AndreasBoesen,UNKNOWN,UNKNOWN
Özkan Kocak,O76kocak,Socialdemokratiet,UNKNOWN
Kasper Fuhr,KasperFuhr,UNKNOWN,UNKNOWN
Niels Hörup (V),nielshorup,UNKNOWN,UNKNOWN
Christian Donatzky,donatzky,UNKNOWN,UNKNOWN
Latifa Ljørring,Latifa_Venstre,UNKNOWN,UNKNOWN
Anders Broholm,andersbroholm,Venstre,UNKNOWN
Rune Højer,RuneHojer,UNKNOWN,UNKNOWN
Rose Sloth Hansen,RoseSHansen,UNKNOWN,UNKNOWN
Bjarne Laustsen,Bjarne_Laustsen,Socialdemokratiet,nordjylland
Kurt Damsted,KurtDamsted,UNKNOWN,UNKNOWN
Johan Brødsgaard,JBroedsgaard,UNKNOWN,UNKNOWN
Tim Vermund,TimVermund,UNKNOWN,UNKNOWN
Glen Madsen,GlenMadsen,UNKNOWN,UNKNOWN
Michael Vajhøj,roadhigh,UNKNOWN,UNKNOWN
Helle Adelborg,AdelborgHelle,UNKNOWN,UNKNOWN
Rasmus Norup,RasmusNorupC,UNKNOWN,UNKNOWN
Jeppe Trolle,JeppeTrolle,UNKNOWN,UNKNOWN
Helle Bonnesen (C),Helle_Bonnesen,UNKNOWN,UNKNOWN
Chr. Wedell-Neegaard,StemChristian,UNKNOWN,UNKNOWN
Qasam Nazir Ahmad,qasamnahmad,UNKNOWN,UNKNOWN
Steen Hasselriis,steenhasselriis,UNKNOWN,UNKNOWN
Fasael Rehman,FasaelRehman,UNKNOWN,UNKNOWN
Klaus Mygind,Klausmygind,UNKNOWN,UNKNOWN
Stephan Kleinschmidt,KleinschmidtDK,UNKNOWN,UNKNOWN
Heidi Wang,heidiwangdk,UNKNOWN,UNKNOWN
Christian Brøns,BroensChristian,UNKNOWN,UNKNOWN
Thomas Krarup,ThomasKrarup,UNKNOWN,UNKNOWN
John Engelhardt,john_Engelhardt,UNKNOWN,UNKNOWN
Claus Houden,ClausHouden,UNKNOWN,UNKNOWN
Elisabeth Ildal,elisabeth_ildal,UNKNOWN,UNKNOWN
Torben Lollike,torbenlollike,UNKNOWN,UNKNOWN
Gert Bjerregaard,GertBjerregaard,UNKNOWN,UNKNOWN
Kisser Franciska,KisserFLehnert,Uden for folketingsgrupperne,UNKNOWN
Mark Grossmann,MarkGrossmannV,UNKNOWN,UNKNOWN
Peter Sørensen,PeterSHorsens,UNKNOWN,UNKNOWN
Hans Toft,htgentofte,Det Konservative Folkeparti,UNKNOWN
Jan Johansen,janjohansen16,Socialdemokratiet,syddanmark
Jeanne Toxværd,FruToxic,UNKNOWN,UNKNOWN
Camilla Hove Lund,hovelund,Venstre,sjælland
Søren Steen Andersen,sor1steenupdate,UNKNOWN,UNKNOWN
Mogens Vad,MogensVad,UNKNOWN,UNKNOWN
Karina Vestergård,karinaehl,UNKNOWN,UNKNOWN
Steen B. Andersen,SteenBAndersen,UNKNOWN,UNKNOWN
Klaus Markussen,klausmarkussen,Venstre,UNKNOWN
Julie Gottschalk,JulieG0ttschalk,UNKNOWN,UNKNOWN
Timo Jensen,Timo67,UNKNOWN,UNKNOWN
Søren Rasmussen,SorenRasmussenO,Dansk Folkeparti,UNKNOWN
Poul V. Jensen,poulvjensen,UNKNOWN,UNKNOWN
Bodil Kornbek,BodilKornbek,Socialdemokratiet,UNKNOWN
Kasandra Behrndt,kasandrabehrndt,UNKNOWN,UNKNOWN
Jens Ive,JiJens,UNKNOWN,UNKNOWN
Susan Kjeldgaard,SusanKjeldgaar,UNKNOWN,UNKNOWN
ango winther,AngoWinther,UNKNOWN,UNKNOWN
Jeppe Lindberg,jeppelindberg,UNKNOWN,UNKNOWN
Michael Krogh,micskro,UNKNOWN,UNKNOWN
Martin Bech,MartinNbech,Venstre,nordjylland
Marco Oehlenschläger,OehlenschlagerM,UNKNOWN,UNKNOWN
KARIN SØJBERG HOLST,holst_karin,UNKNOWN,UNKNOWN
Laura Rosenvinge,LauraRosenvinge,UNKNOWN,UNKNOWN
Christine Dal,DalChristine,UNKNOWN,UNKNOWN
Torben Elsig,TorbenElsig,UNKNOWN,UNKNOWN
Per Zeidler,PerZeidler,UNKNOWN,UNKNOWN
Mette Engelbrecht,Mettengelbrecht,UNKNOWN,UNKNOWN
Hjalte Daniel Hansen,hjaltedaniel,UNKNOWN,UNKNOWN
Anders Winnerskjold,Winnerskjold,UNKNOWN,UNKNOWN
Hans Jørgen Hansen,HansJHans,UNKNOWN,UNKNOWN
Jan Ravn Christensen,JanRavnC,UNKNOWN,UNKNOWN
Simon Strange,stemstrange,UNKNOWN,UNKNOWN
Trine Madsen,trinmads,UNKNOWN,UNKNOWN
Trine Græse,TrineGraese,UNKNOWN,UNKNOWN
Mads Andersen,MadsAndersenC,UNKNOWN,UNKNOWN
Sjurdur Skaale,SSkaale,UNKNOWN,UNKNOWN
Søren Rishøj Jakobsen,sorijak,UNKNOWN,UNKNOWN
Dennis Schmock,DennisSchmock,UNKNOWN,UNKNOWN
Maria Baagøe Bove,MariaBaagoeBove,UNKNOWN,UNKNOWN
Louise Feilberg,FeilbergLouise,UNKNOWN,UNKNOWN
Anne Jeremiassen,Flipitorflop,UNKNOWN,UNKNOWN
Rikke Mortensen,RikkeMortensen4,UNKNOWN,UNKNOWN
Jesper Bitsch Bierbaum,bitschbierbaum,UNKNOWN,UNKNOWN
Mette Bossen Linnet,Mette_Linnet,Venstre,UNKNOWN
Bo Vesth,bo_vesth,UNKNOWN,UNKNOWN
Miki Dam Larsen,mikidamlarsen,UNKNOWN,UNKNOWN
Jesper Clausson (S),StemClausson,UNKNOWN,UNKNOWN
Mads Duedahl,mads_duedahl,UNKNOWN,UNKNOWN
Tanja Larsson,LarssonTanja,Socialdemokratiet,sjælland
Kristoffer H Storm,HjortStorm,UNKNOWN,UNKNOWN
Susan Kronborg,kronborgsusan,UNKNOWN,UNKNOWN
