,Names,Twittername
168,Anne Marie Geisler,amgeisler
169,Julie Skovsby,JulieSkovsby
170,Marianne Vind,MarianneVind
171,Daniel Panduro,Danielpanduro
172,Gunvor Wibroe,GunvorWibroe
173,Jesper Christensen,jesper_bedreby
174,Marlene Harpsøe 🇩🇰,MarleneHARPSOEE
175,Daniel Nyboe Andersen,danielnyboe
176,Karin Friis Bach,karinFbach
177,MetteAnnelie,mette_annelie
178,Camilla Fabricius,CamFabricius
179,Lise Bech 🇩🇰 DF,LiseBech
180,Ninna Hedeager Olsen,ninnahedeager
181,Katrine Robsøe,KatrineRobsoe
182,Nikolaj Bøgh,nikolajbogh
183,Steen Christiansen,steen2620
184,Social- og Indenrigsministeriet,Socialindenrigs
185,Anne Ehrenreich,anneehrenreich
186,Lars Gaardhøj,larsgaardhoj
187,Flemming M Mortensen,FlemmingMM
188,Annette Lind,annette_lind
189,MiaNyegaard,MiaNyegaard
190,Bjørn Brandenborg,BjBrandenborg
191,Serdal Benli,SerdalBenli
192,Peder Hvelplund,pederhvelplund
193,Lars Boje Mathiesen,LBMathiesen
194,Thomas Gyldal,ThomasGyldal
195,Anne Paulin,Paulin_Anne
196,Ulrik Kohl,UlrikKohl
197,Peter Westermann,WestermannPeter
198,Marie Stærke,mariestaerke
199,Jens-Kristian Lütken,lytken
200,Brigitte K. Jerkel,JerkelK
201,Jørn Pedersen,mayorkolding
202,Lars Aslan,lars_aslan
203,Michael Vindfeldt,MVindfeldt
204,Winni Grosbøll,wgrosboell
205,Caroline Stage,CarolineStage
206,Heino Knudsen (S),HeinoKnudsen
207,Astrid Carøe,AstridCaroee
208,Anders Kühnau,AndersKuhnau
209,Anne Sophie Callesen,FrkCallesen
210,Susanne Zimmer,Susanne_Zimmer_
211,Martin Geertsen,GeertsenVenstre
212,Anne Valentina Berthelsen,AnneValentina
213,KatarinaAmmitzboell,Ammitzboell_K
214,ThomasKastrup-Larsen,KastrupLarsen
215,Rikke Lauritzen,rikkelau
216,J H Thulesen Dahl,JThulesen
217,Claus Jørgensen,clausjorgensen
218,Pernille Bendixen,BendixenPebe
219,Orla Hav,HavOrla
220,Ulla Astman,UAstman
221,Daniel Rugholm,rugholm
222,Erling Bonnesen,ErlingBonnesen
223,Jonas Bjørn Jensen,Jonasbjorn
224,Tidligere Økonomi- og Indenrigsministeriet,OIMdk
225,Marie Bjerre,marie_bjerre
226,Peter Juel Jensen,PeterJuelJensen
227,Birgitte Bergman,BirgitteBergman
228,Nick Hækkerup,Nickerup
229,"Stén Knuth, Idrætsordfører Venstre",Sten_Knuth
230,Martin Damm,martinldamm
231,Troels Ravn,RavnTroels
232,Torben Hansen,TorbenHansenRds
233,Anders Kronborg,AndersKronborg
234,Susanne Eilersen,Eilersen_DF
235,Asger Christensen,AsgerChristens2
236,Anja C Jensen,AnjaCJensen
237,Erik Høgh-Sørensen,HoghSorensen
238,Kathrine Olldag,KathrineOlldag
239,Mette H. Dencker,dfmehd_mette
240,Villum Christensen,VillumC
241,Aaja Chemnitz Larsen,AajaCL
242,Franciska Rosenkilde,FranciskaRosenk
243,Sonja Marie Jensen,SonjaMJensen
244,Bo Nygaard Larsen,bonygaardlarsen
245,Steen Holm Iversen,steenHiversen
246,Maria Gudme,mariagudme
247,Bünyamin Simsek,BSimsekV
248,Jacob Isøe Klærke,jacobklaerke
249,Charlotte Riis Engelbrecht,CharlotteCre
250,Emil Blücher,emilblucher
251,Peter Seier Christensen,peter_seier
252,Balder Mørk Andersen,sfBalder
253,Per Larsen,PerLarsenC
254,Per Olesen,polesenpolesen
255,Tonni Hansen,Tonni_SF
256,Birgit S. Hansen,BirgitsHansen
257,Pernille Beckmann,PernilleBeckman
258,Anders Johansson,AJohanssonC
259,Jakob Gorm,jakobgorm
260,Christoffer Lilleholt,LilleholtC
261,Birgitte Vind,birgitte_vind
262,Astrid Aller,AstridAller
263,Christoffer Melson,ChristofferMels
264,Merete Scheelsbeck,Scheelsbeck
265,Niels Peter Bøgballe,NPBogballe
266,Fanny Broholm,FannyBroholm
267,Daniel Prehn,DanielPrehn1
268,Hanne Roed,HanneRoed
269,SusanneUrsulaCrawley,susanneursula
270,Allan Ahmad,AllanAhmadDK
271,Marc Perera Christensen,MarcPerera
272,Lasse Frimand Jensen,LasseFJaalborg
273,Halime Oguz,Halime9Oguz
274,Lasse Hansen,Ls_Hansen
275,Kirsten Rask,KirstenRask
276,Jens Mandrup,jensmandrup
277,Flemming Pless,Fpless
278,Flemming Damgaard,FlemmingDL
279,Orla Østerby,orlaosterby
280,Hans Christian Schmidt,HaChrSchmidt
281,Camilla Pedersen,camillalouped
282,Lisbeth Lauritsen,L_Lauritsen
283,Daniel Toft Jakobsen,ToftJakobsen
284,Henrik Hvidesten,HenrikHvidesten
285,Niels E. Bjerrum,NielsBjerrum
286,Steen Wrist Ørts,steenwrist
287,Heidi Bank,bankHeidi
288,Lene Horsbøl,LeneHorsboel
289,Carl Andersen,CarlAndersenLA
290,Marlene Ambo-Rasmussen,MarleneAmbo
291,Charlotte Lund,CharlotteLundDi
292,Mogens Gade,MogensGade
293,Jonathan SH. Nielsen,JonathanNielsen
294,Kristian Guldfeldt,Guldfeldt
295,Jakob Lose,Jakob_Lose
296,Jesper F. Rasmussen,Jesperfr
297,LoneYalcinkaya,LoneYalcinkaya
298,Brian Dybro,BrianDybro
299,Morten Jung,mortenjung
300,Leon Sebbelin,LeonSebbelin
301,Sine Heltberg,sineheltberg
302,Simon Simonsen,simonsjsimonsen
303,Karoline Vind,KarolineVind
304,Marcus Vesterager,marvesterager
305,Malte Larsen,MalteLarsen
306,Merete Due Paarup,MereteDuePaarup
307,Jesper Kiel,jesperkiel
308,Maria Sloth,MariaSloth
309,Niels Flemming Hansen,NielsFlemming01
310,Lasse P. N. Olsen,LassePNO
311,Sofie Seidenfaden,SeidenfadenSof
312,Carsten Kissmeyer,CKissmeyer
313,Rasmus Foged,FogedRasmus
314,Andreas Boesen,AndreasBoesen
315,Annette Roed,RoedAnnette
316,Kristian Nørgaard,Knorgaardenn
317,Özkan Kocak,O76kocak
318,Kim Valentin,kimvalentinDK
319,Annika Smith,annika_smith
320,Kasper Fuhr,KasperFuhr
321,Christian Donatzky,donatzky
322,Niels Hörup (V),nielshorup
323,Anders Broholm,andersbroholm
324,Latifa Ljørring,Latifa_Venstre
325,Anne Honoré Østergaard,AnneStergaa
326,Rune Højer,RuneHojer
327,Rose Sloth Hansen,RoseSHansen
328,Bjarne Laustsen,Bjarne_Laustsen
329,Kurt Damsted,KurtDamsted
330,Johan Brødsgaard,JBroedsgaard
331,Glen Madsen,GlenMadsen
332,Tim Vermund,TimVermund
333,Michael Vajhøj,roadhigh
334,Helle Adelborg,AdelborgHelle
335,Jeppe Trolle,JeppeTrolle
336,Helle Bonnesen (C),Helle_Bonnesen
337,Chr. Wedell-Neegaard,StemChristian
338,Rasmus Norup,RasmusNorupC
339,Steen Hasselriis,steenhasselriis
340,Fasael Rehman,FasaelRehman
341,Qasam Nazir Ahmad,qasamnahmad
342,Stephan Kleinschmidt,KleinschmidtDK
343,Klaus Mygind,Klausmygind
344,Heidi Wang,heidiwangdk
345,Christian Brøns,BroensChristian
346,Thomas Krarup,ThomasKrarup
347,John Engelhardt,john_Engelhardt
348,Claus Houden,ClausHouden
349,Elisabeth Ildal,elisabeth_ildal
350,Gert Bjerregaard,GertBjerregaard
351,Torben Lollike,torbenlollike
352,Kisser Franciska,KisserFLehnert
353,Mark Grossmann,MarkGrossmannV
354,Peter Sørensen,PeterSHorsens
355,Hans Toft,htgentofte
356,Jan Johansen,janjohansen16
357,Jeanne Toxværd,FruToxic
358,Camilla Hove Lund,hovelund
359,Søren Steen Andersen,sor1steenupdate
360,Mogens Vad,MogensVad
361,Klaus Markussen,klausmarkussen
362,Steen B. Andersen,SteenBAndersen
363,Karina Vestergård,karinaehl
364,Julie Gottschalk,JulieG0ttschalk
365,Timo Jensen,Timo67
366,Bodil Kornbek,BodilKornbek
367,Søren Rasmussen,SorenRasmussenO
368,Poul V. Jensen,poulvjensen
369,Susan Kjeldgaard,SusanKjeldgaar
370,Jeppe Lindberg,jeppelindberg
371,ango winther,AngoWinther
372,Jens Ive,JiJens
373,Kasandra Behrndt,kasandrabehrndt
374,Michael Krogh,micskro
375,Marco Oehlenschläger,OehlenschlagerM
376,KARIN SØJBERG HOLST,holst_karin
377,Christine Dal,DalChristine
378,Laura Rosenvinge,LauraRosenvinge
379,Martin Bech,MartinNbech
380,Torben Elsig,TorbenElsig
381,Per Zeidler,PerZeidler
382,Mette Engelbrecht,Mettengelbrecht
383,Hjalte Daniel Hansen,hjaltedaniel
384,Anders Winnerskjold,Winnerskjold
385,Hans Jørgen Hansen,HansJHans
386,Jan Ravn Christensen,JanRavnC
387,Trine Græse,TrineGraese
388,Trine Madsen,trinmads
389,Simon Strange,stemstrange
390,Mads Andersen,MadsAndersenC
391,Søren Rishøj Jakobsen,sorijak
392,Sjurdur Skaale,SSkaale
393,Dennis Schmock,DennisSchmock
394,Maria Baagøe Bove,MariaBaagoeBove
395,Louise Feilberg,FeilbergLouise
396,Rikke Mortensen,RikkeMortensen4
397,Anne Jeremiassen,Flipitorflop
398,Jesper Bitsch Bierbaum,bitschbierbaum
399,Mette Bossen Linnet,Mette_Linnet
400,Bo Vesth,bo_vesth
401,Miki Dam Larsen,mikidamlarsen
402,Jesper Clausson (S),StemClausson
403,Mads Duedahl,mads_duedahl
404,Kristoffer H Storm,HjortStorm
405,Daniel Borup,DanielBorup
406,Githa Nelander,GithaNelander
407,Thomas Andresen,tand22927504
408,Tanja Larsson,LarssonTanja
409,søren brink,brinkjammerbugt
410,Ole Vive,OleVive
411,Søren Hillers,hillers_s
412,Ole Bondo Christense,olebondo
413,Bodil Sø,BodilSoe
414,Jan Wammen,janwammen
415,line ervolder,lineervolder
416,Tina French Nielsen,TinaFrench71
417,Benny Dall,BennyDall
418,Maja Torp,MajaTorpAalborg
419,Claus Kjeldsen,ClausKjeldsen
420,Tidligere konto MBLIS,M_BLIS
421,Torben Overgaard,OvergaardTorben
422,Susan Kronborg,kronborgsusan
423,Steen Vindum,vindum
424,Kasper Glyngø,KasGly
425,Mikael Smed,Mikaelsmed
426,Maja Krog,KrogMaja
427,Tage Nielsen,8464tage
428,Søren Kusk,s_kusk
429,Gitte Simoni,Gittesimoni
430,Kåre Harder Olesen,HarderOlesen
431,Claus Omann Jensen,CjOmann
432,Henrik Moeller,HenrikMoeller2
433,H.C. Østerby,Oesterby
434,Morten Slotved,SlotvedMorten
435,Gorm Gunnarsen,GormGun
436,Rasmus Brask,rasmusbrask
437,Diana Mose Olsen,DianaMoseOlsen
438,Ida Damborg,DamborgIda
439,Marianne Mathiesen,MarianneM_LA
440,Steffen Mølgaard,Steffen_Moel
441,Kristian Dyhr,krdyhr
442,Søren Schow,soerenschow
443,Peter Mikkelsen,PeterMikkelsen4
444,Robert Sørensen,RobertGlostrup
445,Morten Andersen,MortenA41863685
446,Hans Holmer,HolmerHans
447,William Sonne Kaalø,SonneKaaloe
448,Anna Hede,AnnaMHC
449,Preben Friis-Hauge,FriisHauge
450,Anne-Mette Ebensgaard🌹ame@odense.dk Tel: 21327352,AnneEbensgaard
451,Lars Hoppe Søe,hoppesoe
452,Tommy Hummelmose,TommyHummelmose
453,Lone Hindø,LoneHind
454,Sascha Qvortrup,perleberger
455,Otto Kjær Larsen,otklar
456,Karen Sandrini,KarenSandrini
457,Søren Greve,SGHobro
458,peter duetoft,peterduetoft
459,Thomas Palmskov,TPalmskov
460,Kirstine van Sabben,KirstinevanSabb
461,Eik Dahl Bidstrup,EikBidstrup
462,Dan Arnløv,DanArnloev
463,Rabih Azad-Ahmad,AzadRabih
464,Mads Panny,MadsPanny
465,Jakob Rixen,J_Rixen
466,Arne Lægaard,ArneLaegaard
467,Karsten Uno Petersen,KarstenUno
468,Sune Raunkjær,SRaunkjr
469,Flemming Rømer,flemse68
470,PeterSkriverNielsen,Enthybo
471,Mortensiig,mortensiig
472,Ole Revsgaard Andersen,OleRevsgaard
473,Lars Mogensen,LarsMog
474,Kirsten Devantier,KirstenDvantier
475,Ursula Dieterich,UDieterich
476,Jørgen Gaarde,JGaarde
477,Dan Skjerning,SkjerningDan
478,Kristian Skov-Andersen,SkovAndersen
479,Knud Holt Nielsen,Knuden1969
480,Peder Udengaard,PederUdengaard
481,Olav Rabølle Nielsen,orn48245399
482,John Brædder,Jobr0390
483,Ulrich Fredberg,UlrichFredberg
484,Nils Borring,NilsBorring
485,vibeke syppli enrum,Vse11Vse
486,Pia Tørving,ptoerving
487,Mathias Frosz,MathiasDFN
488,Claus Bakke,ClausBakke
489,HolgerSchouRasmussen,HolgerSchouA
490,Søren Windell,sorenwindell
491,Cecilie Roed Schultz,CroedS_EL
492,Morten Skovlund,MortenSkovlund
493,Per Bødker Andersen,PerBoedker
494,Aki Høegh-Dam,aki_hdam
495,Michele Fejø,FejoeMichele
496,Kenneth Bjerregaard,kbmusik88
497,Nicolaj Bang,NicolajBang
498,Anette Mortensen,anetmort
499,H. Kristian Wollesen,Wollese
500,Lene Krabbe Dahl,LeneKrabbeDahl
501,Erik Swiatek,ErikSwiatek
502,Mai-Britt Beith,BeithMai
503,Lis Mancini,lismancini
504,Eva B. Mejnertz,eva_mejnertz
505,Gyda Heding,GydaHeding
506,Flemming Erichsen,ErichsenFer
507,Thomas.,hav_t
508,Iben Sønderup,SonderupIben
509,Charlotte Drue,DrueCharlotte
510,Carsten Kristensen,CarstenKristen1
511,Ib Kristensen,BorgmesterIb
512,Liselotte Lynge Jensen,LiselotteLyngeJ
513,Jens Meilvang,JmMeilvang
514,Dan Ingemann Jensen,IngemannDj
515,Randi Mondorf,RandiMondorf
516,Eea Vestergaard,Eeahaldan
517,Andreas Keil,AlkeilAndreas
518,Else Kayser,else_kayser
519,Lene Linnemann,L_Linnemann
520,NiclasTuran Kandemir,TuranKandemirDK
521,Ole Vind,OleVind
522,Lene Kjelgaard,lenekjelgaard
523,Claus Mørkbak Højrup,claushojrup
524,Mira Issa Bloch,BlochMira
525,Thies Mathiasen,MailThies
526,Mette Valbjørn,MetteVALG
527,Steffen Jensen,Steffenhalsnaes
528,Per Bisgaard,perbisgaard
529,Anny winther,AnnyWinther
530,Marianne Frederik,mariannefrede20
531,Anders Buhl-Christen,AndersBuhl
532,Henning Ravn,henningravn
533,Christel Gall,CgaChristel
534,anja daugaard,AnjaDaugaard
535,Erik Nielsen,ErikNie68413878
536,Palle Lykke Ravn,PalleLykkeRavn
537,Dina Oxfeldt,OxfeldtDina
538,malene busk,malenebusks
539,Uwe Jessen,UweJessen
540,Simon Højer,SimonOgPolitik
541,Sarah Nørris,sarah_noerris
542,Annemarie Knigge,AnnekAnnemarie
543,Annie Hagel,AnnieHagel
544,Michael Eskamp Witek,eskampwitek
545,PGraversgaard,PGraversgaard
546,Charlotte Broman Møl,MlCharlotte
547,Anne Møller Ronex,AnneMllerRonex
548,Lauge Larsen (A),laugelarsenS
549,Åse Kubel Høeg,aasekubelhoeeg
550,Hans Skou,HansSkou
551,Susanne Lundvald,LundvaldSusanne
552,John T. Olsen,JtoOlsen
553,Erik Nørreby,ErikNrreby
554,Azra Hasanbegovic,hasanbegovic_6
555,Jørgen Hein,aabcollege
556,Jørgen Rørbæk,Roerbak
557,Jan Hendeliowitz,JanHendeliowitz
558,Tobias Bøgeskov,Tobiasboegeskov
559,Henrik Buchhave,BuchhaveHenrik
560,Erik Harbo Larsen,ErhlErik
561,Susanne Dyreborg,SusDyreborg
562,Flemming Andersen,FlemmingVenstre
563,Pernille Høxbro,pernillehoxbro
564,Poul Fremmelev,PoufrP
565,Bente Gertz,bente_gertz
566,Helle Sjelle,helle_sjelle
567,Erik R Gregersen,ErikRGregersen
568,Anders R. Laugesen,arlaugesen
569,Flemming Brank,BrankFlemming
570,Niels Lundshøj (S),Gorm_Lundshoej
571,karen lagoni,karenlagoni
572,Maria Brumvig,mariabrumvig
573,Bruno Jerup,BrunoJerup
574,Steen Jakobsen,sja46297093
575,Annette Randløv,randlov62
576,Linda Frederiksen,Lindaf_dk
577,claus leick,clausleick
578,Søren Elbæk,SorenElbaek
579,Mogens Nørgård,MogensNorg
580,Per Skovmose,PskPer
581,Anna Kirsten Olesen,OlesenAnna
582,Petter Astrup,PetterAstrup
583,Kim Drejer Nielsen,KimDrejer
584,Annie Hagel,hagel6
585,Søren H Lambertsen,shl1030
586,Jakob Ville,JakobVille
587,Maria Temponeras,MariaTemponeras
588,Susanne Buch Nielsen,susanne34684926
589,Lone Langballe,l_langballe
590,Nikolai Norup,NikoNorup
591,martin schepelern,mschepelern
592,Anja Lund,AnjaLund2
593,Sanne Skougaard An..,SanneSkougaard
594,Evan Lynnerup,evan_lynnerup
595,Lene Madsen Milner,LeneMilner
596,David M. Zepernick,FondenSAA
597,Tage Petersen,TagePetersen
598,Nini Oken,NiniOken
599,Ole Alsted,AlstedOle
600,Mette Bjerre,mette_bjerre1
601,melanie simick,SimickMorten
602,Poul-Erik Svendsen,svendsen_poul
603,Medzait Ljatifi,medzait1
604,Niels Hörup,Niels_Horup
605,Ulla Chambless,UllaGC
606,Poul Erik Jensen,PoulErikJensenA
607,Frands Fischer,FrandsFischer
608,Tage Leegaard,TageLeegaard
609,Vicky Bender Lorenzen,VickyLorenzen
610,Susan Hedlund,hedlund_susan
611,Peder Hummelmose,PederHummelmose
612,Mustapha El-Ahmad,MustaphaElAhmad
613,Arne Kristiansen,ArneBoelt
614,Dorte West,DorteWest
615,Finn Sander Jensen,Finnsanderjense
616,Mogens Nyholm,mogens_nyholm
617,Karsten Fogde,FogdeKarsten
618,Hamlaoui Bahloul,hamlaouibahloul
619,Jørgen Ahlquist,QuistAhlquist
620,Dorthe Hecht,DortheHecht
621,Henrik Vallø,henrik_vall
622,Kim Hesel,KimHesel
623,Freja Södergran,Frejasodergran
624,conny Jensen,connyJensen3
625,Birthe Harritz,BirtheHarritz
626,Trine Frengler,TrineFrengler
627,Michael Harbøll,mharboll
628,ChristofferReinhardt,Reinhardt09
629,MortenWeiss-Pedersen,mwp14
630,Jørn Lehmann Peterse,rn_lehmann
631,Henning J. Nyhuus,henningnyhuus
632,Peter Therkildsen,TherkildsenP
633,Kasper Ejlertsen,KasperEjlertsen
634,Jette Ramskov,jetramskov
635,Anne Heeager,AnneHeeager
636,Karsten SkawboJensen,skawbojensen
637,Jan Hemberg Herskov,HerskovJan
638,liv gro jensen,liv_gro
639,Anders Korsbæk,anderskorsbaek
640,Søren Erik  Pedersen,soerep
641,Leif Olsen,Leif_Olsen
642,Ellen Petersen,EllenPetersen18
643,Felex Pedersen,PedersenFelex
644,AMPJ,PalmJohansen
645,Christina Kjærsgaard,ChristinaKjrsg2
646,Molle lykke nielsen,LykkeMolle
647,Vibeke Gamst,vibeke_gamst
648,Pia Moldt,piamoldt
649,Lars Folmann,larsfolm
650,schlootie,schlootie
